test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
2024,hierarchical_component_transition,0.05,17957,898,889,381,0.42857142857142855,0.4242761692650334,8.56999681832644,3132,594,0.1896551724137931,0.6614699331848553,3.7924698563858383,36211915.0,28362124.0,0.783226294439275,34524.35000000002,26926.84,0.7799376382176633
2024,hierarchical_component_transition,0.1,17957,1796,889,523,0.5883014623172104,0.29120267260579064,5.882031936987832,3132,925,0.295338441890166,0.515033407572383,2.9528910918829125,36211915.0,31491595.0,0.8696473246443884,34524.35000000002,28361.94,0.8215054012602694
2024,component_phase_size_mass_rate,0.05,17957,898,889,368,0.41394825646794153,0.40979955456570155,8.27758222872475,3132,562,0.17943805874840357,0.6258351893095768,3.58816171597448,36211915.0,28144889.0,0.7772273021186535,34524.35000000002,26181.24,0.7583412866570981
2024,component_phase_size_mass_rate,0.1,17957,1796,889,522,0.5871766029246345,0.2906458797327394,5.870785222003152,3132,922,0.2943805874840358,0.5133630289532294,2.9433141478011304,36211915.0,31323536.0,0.8650063383833746,34524.35000000002,28176.989999999998,0.8161483127126211
2024,component_phase_size_mass_frequency,0.05,17957,898,889,10,0.01124859392575928,0.011135857461024499,0.22493429969360731,3132,74,0.02362707535121328,0.08240534521158129,0.472462574701266,36211915.0,4351.0,0.00012015382229854455,34524.35,849.55,0.024607269941360227
2024,component_phase_size_mass_frequency,0.1,17957,1796,889,13,0.014623172103487065,0.007238307349665924,0.14620729480084477,3132,100,0.031928480204342274,0.0556792873051225,0.3192314693927473,36211915.0,5224.0,0.00014426190937430402,34524.35,899.3,0.026048281864828736
2024,posterior_expected_burden,0.05,17957,898,889,373,0.41957255343082117,0.4153674832962138,8.390049378571554,3132,611,0.1950830140485313,0.6804008908685969,3.9010085559793723,36211915.0,29220835.0,0.8069397876361966,34524.35000000002,26733.49,0.7743372431341933
2024,posterior_expected_burden,0.1,17957,1796,889,497,0.5590551181102362,0.2767260579064588,5.589617347386143,3132,1078,0.3441890166028097,0.6002227171492205,3.4413152400538163,36211915.0,30896225.0,0.8532060511022408,34524.35000000002,28709.079999999998,0.8315603335037439
2024,posterior_damage_gated_burden,0.05,17957,898,889,383,0.43082114735658045,0.4265033407572383,8.61498367826516,3132,597,0.19061302681992337,0.6648106904231625,3.811623744549403,36211915.0,29295782.0,0.8090094655308895,34524.35000000001,26854.84,0.777852153624905
2024,posterior_damage_gated_burden,0.1,17957,1796,889,522,0.5871766029246345,0.2906458797327394,5.870785222003152,3132,930,0.29693486590038315,0.5178173719376392,2.9688526653525504,36211915.0,31508729.0,0.8701204838241777,34524.35000000001,28332.94,0.8206654144104085
2024,posterior_tail_burden,0.05,17957,898,889,375,0.421822272215973,0.41759465478841873,8.435036238510275,3132,589,0.18805874840357598,0.655902004454343,3.7605467094465634,36211915.0,28300227.0,0.7815169951658176,34524.35000000002,26730.49,0.7742503479428283
2024,posterior_tail_burden,0.1,17957,1796,889,520,0.5849268841394826,0.289532293986637,5.848291792033791,3132,931,0.29725415070242656,0.5183741648106904,2.9720449800464777,36211915.0,31523606.0,0.8705313154523863,34524.35000000002,28366.94,0.8216502265792109
2024,posterior_event_tail_burden,0.05,17957,898,889,363,0.40832395950506184,0.4042316258351893,8.165115078877946,3132,634,0.20242656449553,0.7060133630289532,4.047855031900037,36211915.0,29141579.0,0.8047511157584458,34524.35000000002,26769.84,0.7753901232028984
2024,posterior_event_tail_burden,0.1,17957,1796,889,464,0.5219347581552306,0.2583518930957684,5.21847575289169,3132,1108,0.3537675606641124,0.6169265033407573,3.5370846808716405,36211915.0,29804827.0,0.8230668552049788,34524.35000000002,28228.329999999998,0.817635379087513
2024,risk_guarded_tail_burden,0.05,17957,898,889,375,0.421822272215973,0.41759465478841873,8.435036238510275,3132,589,0.18805874840357598,0.655902004454343,3.7605467094465634,36211915.0,28300227.0,0.7815169951658176,34524.35000000002,26730.49,0.7742503479428283
2024,risk_guarded_tail_burden,0.1,17957,1796,889,520,0.5849268841394826,0.289532293986637,5.848291792033791,3132,931,0.29725415070242656,0.5183741648106904,2.9720449800464777,36211915.0,31523606.0,0.8705313154523863,34524.35000000002,28366.94,0.8216502265792109
2025,hierarchical_component_transition,0.05,19970,999,954,404,0.42348008385744235,0.4044044044044044,8.465362637270394,3346,630,0.18828451882845187,0.6306306306306306,3.763805646650835,23641307.0,14784895.0,0.6253839942097956,30998.660000000025,17831.79,0.575243897639446
2025,hierarchical_component_transition,0.1,19970,1997,954,566,0.5932914046121593,0.28342513770655986,5.932914046121594,3346,997,0.29796772265391513,0.4992488733099649,2.979677226539151,23641307.0,16383153.0,0.6929884629475012,30998.660000000025,20821.490000000005,0.6716900020839607
2025,component_phase_size_mass_rate,0.05,19970,999,954,395,0.4140461215932914,0.3953953953953954,8.276777826044073,3346,616,0.18410041841004185,0.6166166166166166,3.6801655211697053,23641307.0,14929930.0,0.6315188073146717,30998.660000000025,18072.33,0.5830035878970248
2025,component_phase_size_mass_rate,0.1,19970,1997,954,552,0.5786163522012578,0.27641462193289934,5.786163522012578,3346,981,0.29318589360430364,0.4912368552829244,2.9318589360430365,23641307.0,16269027.0,0.6881610648683679,30998.660000000025,20875.290000000005,0.6734255609758611
2025,component_phase_size_mass_frequency,0.05,19970,999,954,9,0.009433962264150943,0.009009009009009009,0.18858481122632065,3346,84,0.02510460251046025,0.08408408408408409,0.5018407528867781,23641307.0,4755.0,0.00020113101191909568,30998.660000000003,140.5,0.00453245398349477
2025,component_phase_size_mass_frequency,0.1,19970,1997,954,18,0.018867924528301886,0.009013520280420632,0.18867924528301888,3346,106,0.031679617453676034,0.053079619429143715,0.31679617453676034,23641307.0,6055.0,0.00025611951149739735,30998.660000000003,150.39999999999998,0.004851822627171625
2025,posterior_expected_burden,0.05,19970,999,954,397,0.4161425576519916,0.3973973973973974,8.318685561872144,3346,672,0.200836820083682,0.6726726726726727,4.014726023094225,23641307.0,13101624.0,0.5541835736915899,30998.660000000025,17964.75,0.5795331153024029
2025,posterior_expected_burden,0.1,19970,1997,954,520,0.5450733752620545,0.26039058587881825,5.450733752620546,3346,1154,0.3448894202032277,0.5778668002003005,3.4488942020322777,23641307.0,16639628.0,0.7038370594316127,30998.660000000025,22572.730000000007,0.7281840569882695
2025,posterior_damage_gated_burden,0.05,19970,999,954,404,0.42348008385744235,0.4044044044044044,8.465362637270394,3346,632,0.18888224745965332,0.6326326326326326,3.775754236005282,23641307.0,13027142.0,0.5510330710565199,30998.660000000025,17492.25,0.5642905209450985
2025,posterior_damage_gated_burden,0.1,19970,1997,954,563,0.590146750524109,0.2819228843264897,5.90146750524109,3346,1016,0.30364614465032874,0.5087631447170756,3.0364614465032878,23641307.0,16386388.0,0.6931252997137595,30998.660000000025,20900.490000000005,0.6742384993415841
2025,posterior_tail_burden,0.05,19970,999,954,403,0.4224318658280922,0.4034034034034034,8.44440876935636,3346,633,0.18918111177525404,0.6336336336336337,3.781728530682506,23641307.0,13164142.0,0.5568280129351563,30998.66000000002,17854.749999999996,0.5759845748171045
2025,posterior_tail_burden,0.1,19970,1997,954,565,0.5922431865828093,0.2829243865798698,5.922431865828092,3346,1032,0.30842797369994024,0.5167751627441162,3.0842797369994024,23641307.0,18068038.0,0.7642571538028756,30998.66000000002,22485.49,0.7253697417888382
2025,posterior_event_tail_burden,0.05,19970,999,954,352,0.3689727463312369,0.35235235235235235,7.375761505740542,3346,707,0.2112970711297071,0.7077077077077077,4.223826336797049,23641307.0,13852159.0,0.5859303379462057,30998.660000000025,19403.550000000003,0.625948024850106
2025,posterior_event_tail_burden,0.1,19970,1997,954,504,0.5283018867924528,0.25237856785177765,5.283018867924528,3346,1173,0.3505678421996414,0.5873810716074112,3.505678421996414,23641307.0,14927115.0,0.6313997360636618,30998.660000000025,24569.490000000005,0.7925984542557641
2025,risk_guarded_tail_burden,0.05,19970,999,954,403,0.4224318658280922,0.4034034034034034,8.44440876935636,3346,633,0.18918111177525404,0.6336336336336337,3.781728530682506,23641307.0,13164142.0,0.5568280129351563,30998.66000000002,17854.749999999996,0.5759845748171045
2025,risk_guarded_tail_burden,0.1,19970,1997,954,565,0.5922431865828093,0.2829243865798698,5.922431865828092,3346,1032,0.30842797369994024,0.5167751627441162,3.0842797369994024,23641307.0,18068038.0,0.7642571538028756,30998.66000000002,22485.49,0.7253697417888382
